ticket_id,date,category,resolution_time,customer_satisfaction
TK6236,2024-05-11,Feature Request,0.92,2
TK4639,2024-05-11,Payment Failure,0.5,2
TK9128,2024-05-11,Login Issue,0.5,1
TK9446,2024-05-11,Bug Report,0.94,2
TK5686,2024-05-12,Feature Request,3.86,1
TK4058,2024-05-12,Bug Report,3.28,5
TK4846,2024-05-13,Feature Request,4.7,4
TK8880,2024-05-13,Bug Report,3.97,3
TK7908,2024-05-13,Feature Request,3.21,2
TK2191,2024-05-13,Other,1.17,1
TK9985,2024-05-14,Bug Report,4.7,1
TK5678,2024-05-14,Feature Request,2.75,3
TK8774,2024-05-14,Payment Failure,2.07,4
TK8541,2024-05-14,Bug Report,2.11,5
TK1970,2024-05-15,Other,0.58,2
TK8912,2024-05-15,Feature Request,4.79,3
TK6055,2024-05-15,Payment Failure,2.87,1
TK4681,2024-05-15,Payment Failure,2.82,5
TK1176,2024-05-16,Feature Request,2.69,1
TK9943,2024-05-16,Other,2.22,3
TK9127,2024-05-16,Other,4.18,5
TK8992,2024-05-17,Bug Report,2.91,5
TK7289,2024-05-17,Bug Report,2.34,3
TK4956,2024-05-18,Payment Failure,0.58,4
TK5421,2024-05-18,Login Issue,3.84,5
TK1748,2024-05-19,Other,0.5,2
TK9208,2024-05-19,Bug Report,1.89,3
TK8396,2024-05-20,Login Issue,0.5,1
TK3000,2024-05-20,Login Issue,1.88,4
TK4009,2024-05-20,Feature Request,0.81,4
TK3053,2024-05-21,Feature Request,0.68,4
TK2417,2024-05-21,Payment Failure,4.95,2
TK4067,2024-05-21,Bug Report,3.17,2
TK2032,2024-05-21,Bug Report,2.31,4
TK8685,2024-05-22,Payment Failure,1.42,3
TK8779,2024-05-22,Bug Report,1.28,2
TK8130,2024-05-22,Feature Request,0.5,2
TK7953,2024-05-23,Login Issue,0.73,4
TK6978,2024-05-23,Login Issue,2.08,3
TK6182,2024-05-24,Bug Report,1.35,1
TK3828,2024-05-24,Payment Failure,2.62,4
TK5612,2024-05-24,Feature Request,3.14,2
TK6543,2024-05-25,Login Issue,1.21,3
TK7726,2024-05-25,Feature Request,3.68,3
TK5384,2024-05-26,Bug Report,1.91,3
TK4689,2024-05-26,Bug Report,2.57,2
TK5562,2024-05-27,Login Issue,0.5,5
TK4298,2024-05-27,Payment Failure,2.15,3
TK9781,2024-05-27,Login Issue,2.65,1
TK5349,2024-05-27,Payment Failure,2.06,1
TK1823,2024-05-28,Login Issue,2.05,5
TK4075,2024-05-28,Payment Failure,2.7,3
TK8317,2024-05-29,Payment Failure,3.39,1
TK1051,2024-05-29,Payment Failure,2.89,1
TK3021,2024-05-29,Other,1.7,3
TK7176,2024-05-30,Bug Report,2.9,1
TK2619,2024-05-30,Feature Request,1.16,3
TK5579,2024-05-31,Login Issue,2.83,5
TK6343,2024-05-31,Login Issue,2.55,1
TK3164,2024-05-31,Login Issue,3.23,5
TK8008,2024-06-01,Feature Request,2.68,1
TK9445,2024-06-01,Feature Request,1.0,2
TK8244,2024-06-01,Payment Failure,4.57,1
TK8830,2024-06-01,Feature Request,0.57,1
